ADBECDBABEDECAEDDBAEEECCB;681;626;689;777;
CECDBCDBADBDACBBDEEEAABAD;634;577;631;725;
EDECBEDAADABBCBAAECDCCACC;692;617;703;811;
EABBCBDDDCADEDCADBEBCCDCC;712;631;733;845;
ECEEADAABDBBBBDCAECCDDADA;653;607;667;736;
BAEBDEACAEDDACDDBBABECACA;628;590;647;698;
DEDECBAAAECDCBCBCDADEACAA;622;561;638;719;
ADBCCEEADDDAEABACBDEDCEAB;649;596;666;737;
DACABEEEDBACCCABDDAACBAED;681;601;684;804;
AEBAADBEEBCADDBEEACCCDDDA;668;609;682;769;
CBEEDBBCCBADAAECDECBADDCC;695;627;690;808;
EBCDEBDAABBACADEEADDCDDAB;661;571;674;794;
DEDEBDCECABEDABAECAEECBCA;673;595;652;794;
DCDBACCDDBABCBEDBEECAEDEE;653;590;647;757;
DCAEEAECBBCEABEBEDBACEEBB;605;575;655;664;
ABACDAEABECCDADABCEEDEBDA;656;584;664;766;
ABCAAEBCDAEBBCECADDBEDCBE;659;594;651;763;
DABCECCEBDADABADDBACECCCD;631;567;644;728;
ACEEBCEBACBDADBCDEAEBDDCB;675;597;680;798;
DCDCEDECCBBAEBADAABABEECB;645;593;650;732;
BCBDACAEECDBAEDEDBEDCADCE;677;598;668;799;
ECEBADAECBBADDBEDCBBBADAA;678;616;702;780;
CEAEDEBBAEEBDCACBACBDBBDC;672;595;678;795;
ABDCEBEDACCEBADDEACBBEDAA;675;597;680;798;
DEDCBCEEABBADDABACEEACEEB;681;601;684;804;
CEBECDBEACDCAABCDEAEAABEB;648;595;652;735;
CBAAECBDDADACCEEDDBAAEBBB;674;613;686;775;
DABACABCDEAEDDBCAADBECDDC;694;602;711;836;
ACEAADEBBDCEEBDBACBDDBBDC;670;585;665;797;
AECAADBEEDDACBCEDBECDBAED;643;592;662;731;
ABEBDAEDBCBBACECDECEBCACA;650;597;680;739;
DBAEECBAACEEBACAEDDCCCEBA;690;616;715;810;
AEAABEDCABEDDACEECCEBCEDD;668;601;697;775;
CADDBDEDCAAACEABAECAABDBC;607;576;643;665;
DEDCBCABDEEDAABBACECEBDCB;661;596;679;767;
CBCBADACEEBBACADDBEBEEDAA;652;606;653;734;
